,episode,speaker,speech,word_count
223,ep_1,SANSA, You know I do.,4
224,ep_1,JON, She'll be a good queen. For all of us. She's not her father.,13
225,ep_1,SANSA," No, she's much prettier.",4
226,ep_1,SANSA, Did you bend the knee to save the North or because you love her?,14
227,ep_1,SAMWELL, Oh!,1
228,ep_1,DAENERYS, So you're the man?,4
229,ep_1,SAMWELL," Um. Which man am I, Your Grace?",7
230,ep_1,DAENERYS, The one who saved Ser Jorah when no one else could.,11
231,ep_1,JORAH," They could, they just wouldn't.",5
232,ep_1,DAENERYS, I'll have to make some changes in the Citadel when I take my throne. A great service merits a great reward.,21
233,ep_1,SAMWELL," Oh, it's my honor to serve you, Your Grace.",9
234,ep_1,DAENERYS," Well, there must be something I could give you.",9
235,ep_1,SAMWELL," If it's not too much trouble, I could use a pardon.",11
236,ep_1,DAENERYS, For what crime?,3
237,ep_1,SAMWELL," Um, I borrowed a few books from the Citadel.",9
238,ep_1,SAMWELL, And also a sword.,4
239,ep_1,DAENERYS, From the Citadel?,3
240,ep_1,SAMWELL, From my family. It's been in House Tarly for generations.,10
241,ep_1,SAMWELL," It would've been mine anyway, eventually, but my father had other ideas.",12
242,ep_1,DAENERYS, Not Randyll Tarly?,3
243,ep_1,SAMWELL, You know him?,3
244,ep_1,DAENERYS, I offered to let him retain his lands and titles if he bent the knee. He refused.,17
245,ep_1,SAMWELL," Well At least I'll be allowed home again, now that my brother's the lord.",14
246,ep_1,DAENERYS, Your brother stood with your father.,6
247,ep_1,SAMWELL," Hm. Thank you, Your Grace. For telling me. And m- May I?",12
248,ep_1,DAENERYS, Of course.,2
249,ep_1,SAMWELL, What are you doing out here?,6
250,ep_1,BRAN," Waiting, for an old friend. It's time to tell Jon the truth.",12
251,ep_1,SAMWELL," No, no. You're his brother. Shouldn't you tell him?",9
252,ep_1,BRAN, I'm not his brother. He trusts you more than anyone. Now's the time.,13
253,ep_1,JON, Sam?,1
254,ep_1,SAMWELL," I'm sorry, I know I'm not supposed to be down here.",11
255,ep_1,JON, Were you hiding from me?,5
256,ep_1,SAMWELL, Of course not.,3
257,ep_1,JON, What are you doing in Winterfell? Or did you read every book in the Citadel already?,16
258,ep_1,JON, What's wrong? Gilly? Is she all right?,7
259,ep_1,SAMWELL, She's good.,2
260,ep_1,JON, Little Sam?,2
261,ep_1,SAMWELL, Don't you know?,3
262,ep_1,JON, Know what?,2
263,ep_1,SAMWELL, Daenerys. She executed my father and brother. They were her prisoners.,11
264,ep_1,SAMWELL, She didn't tell you.,4
265,ep_1,JON, I'm so sorry. We need to end this war.,9
266,ep_1,SAMWELL, Would you have done it?,5
267,ep_1,JON," Well, I've executed men who disobeyed me.",7
268,ep_1,SAMWELL, You've also spared men. Thousands of wildlings when they refused to kneel.,12
